PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
Pair_ID_amh_train_1,መግለጫውን የተከታተለው የአዲስ አበባው ዘጋቢያችን ሰሎሞን ሙጬ ዝርዝር ዘገባ አለው ።,"Salomon Muche, our correspondent of Addis Paluwa, who followed the statement, has a detailed report.",በስፍራው ተገኝቶ የተከታተለው የአዲስ አበባው ዘጋቢያችን ሰሎሞን ሙጬ ያጠናቀረውን ልኮልናል ።,"Our reporter Salomon Muche, who was present at the place and followed it up, sent us what he compiled.",0.88
Pair_ID_amh_train_2,የኛ ዴሞክራሲ የእንግሊዝ ስርዓት ነው ፤ ለጊዜው ሊያገለግል ይችላል ።,Our democracy is the British system; It can be used temporarily.,( ሀ) “በሕጉ ዙሪያ ያለው አጥር ” ከንቱ ሆኖ የቀረው ለምንድን ነው ?,"(a) Why is the ""fence around the law"" useless?",0.25
Pair_ID_amh_train_3,በዛሬው ጊዜ ከፍቅራዊ ደግነቱ መጠቀም የምንችለውስ እንዴት ነው ?,How can we benefit from his loving kindness today?,ጥንቃቄ ማድረግ የምንችለውስ እንዴት ነው ?,How can we be careful?,0.36
Pair_ID_amh_train_4,ግን ምን አይነት ቁልፍ ?,But what kind of key?,ምን አይነት ፍቅር ነዉ ?,What kind of love is it?,0.27
Pair_ID_amh_train_5,ምን አይነት ተንኮለኛ ነው ?,What kind of villain is he?,አጭር ሰው ግን የምር ተንኮለኛ ነው ?,But is a short man really cunning?,0.56
Pair_ID_amh_train_6,"ሐሙስ ፡-ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና - ሰኔ 25, 2020 ።","Thursday: Amharic news at three o'clock in the evening - June 25, 2020.","ሰኞ ፡-ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና - ኤፕሪል 19, 2021 ።","Monday: Amharic news at three o'clock in the evening - April 19, 2021.",0.59
Pair_ID_amh_train_7,ኦሮሞነት ከምንም (ከኢትዮጵያ ጭምር) በላይ ነዉ ፡፡,Oromoness is more than anything (including Ethiopia).,ከምንም በላይ ነው ይሄ ።,This is more than anything else.,0.27
Pair_ID_amh_train_8,3)ዋና ዋና መንገዶች ሙሉ በሙሉ ይቆረጣሉ ።,3) Major roads will be completely cut off.,2 . የሽግግር መንግስት ዋና ዋና ስራዎች ምን መሆን አለባቸው ?,2. What should be the main tasks of the transitional government?,0.2
Pair_ID_amh_train_9,የካቲት 26 ቀን 2009 ዓም ።,"February 26, 2009.",አገልግሎቱ የካቲት 26 ቀን 2013 ዓ.ም ማለትም ከ9 ቀን በኋላ እንደሚጀምር ጨምረው ገልፀዋል ፡፡,"They added that the service will start on February 26, 2013 ie 9 days later.",0.41
Pair_ID_amh_train_10,በዚያን ጊዜ እንዲህ አላቸው ።,He said to them at that time.,እርሱም መልሶ እንዲህ አላቸው ።,And he answered and said unto them.,0.62
