PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
ARY-train-0000,تنفرد بنشرها “كود”: سلسلة “كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” احتكار السلطان الشريف العلوي للمجال الديني والسياسي… السلطان العلوي وعلاقتو بالزوايا ح 86,"She is unique in publishing “Code”: the series “How can the sultans of Morocco be able to see “Rioshom” and how can they protect the authority and how can they protect it? ! Sultan Sharif Al-Alawi’s monopoly on the religious and political sphere... The Alawite Sultan and his relationship with the Zawiyas, 86",تنفرد بنشرها “كود” سلسلة “كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” آشنو هي المكانة المؤسسية ديال الأحزاب السياسية في المغرب؟ (1) ح 165,"She is unique in publishing the “code” of the series “How are the sultans of Morocco, how do they see “Rioshom” and how do they protect the authority? ! What is the institutional status of political parties in Morocco? (1) H 165",0.38
ARY-train-0001,الوضعية الوبائية لفيروس كورونا فهاد 24 ساعة: 238 تصابو و93 تشافاو و4 ماتو.. الطوطال: 12290 منهم 8833 صافي تعافاو و225 توفاو و3232 كيتعالجو و18 حالتهم حرجة,"The epidemiological situation of the Corona virus in 24 hours: 238 infected, 93 recovered, and 4 died.. Total: 12,290, of whom 8,833 net recovered, 225 died, 3,232 were treated, and 18 were in critical condition.",حصيلة كورونا فهاد 24 ساعة: 1143 مغربي ومغربية تصابو و33 ماتو و1737 تشافاو و13933 كيتعالجو.. و42 بين الحياة والموت,"Corona’s toll in 24 hours: 1,143 Moroccan men and women infected, 33 dead, 1,737 recovered, 13,933 treated... and 42 between life and death.",0.5
ARY-train-0002,هاباش سالا ملف الاتجار في العفو الملكي بسجن الأوداية وهاشحال عطاو للمتورطين,"Habach Sala, the trafficking file in the royal pardon in the Oudayas prison, and Hachhal Ataw for those involved",جورنالات بلاديفضيحة الاتجار في العفو الملكي تجر موظفين بسجن الأوداية إلى الاعتقال ومجهولون مسلحون ينفذون هجوما خطيرا على مستخدمي شركة “ستاريو” بسلا,"My Journals The royal pardon trafficking scandal leads employees of the Oudayas prison to arrest, and unidentified armed men carry out a serious attack on users of the “Stareo” company in Salé.",0.53
ARY-train-0003,تنفرد بنشرها “كود”: سلسلة “كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” محاولة تنحية سيدي محمد بن يوسف عن العرش لتاريخ 25 فبراية 1951…أسلحة الإقامة العامة الفرنسية. الحلقة 112 (الجزء 2),"She is unique in publishing “Code”: the series “How can the sultans of Morocco be able to see “Rioshom” and how can they protect the authority and how can they protect it? ! The attempt to remove Sidi Mohammed Ben Youssef from the throne on February 25, 1951...weapons of the French public residence. Episode 112 (Part 2)",سلسلة تنفرد بنشرها “كود”:”كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” الزعامة العسكرية للسلطان الشريف:الجيش الانكشاري ودوره الأمني والسياسي ح 68,"A series uniquely published by “Code”: “How can the sultans of Morocco see “Rioshom” and how can they protect this authority? ! The military leadership of Sultan Sharif: The Janissary army and its security and political role, 68",0.25
ARY-train-0004,في أقل من سيمانة.. 5224 قضية تعرضات على القضاء “عن بعد” وها شحال من محابسي استفد منها وفارس كيحذر من التراخي مع الإجراءات الصحية,"In less than one month.. 5224 cases were brought before the judiciary “remotely”, and many of my prisoners benefited from them, and Fares warns against laxity with health procedures.",المحاكمات “عن بعد”.. ها شحال من جلسة دازت غير فهاد الفترة وها شحال من محابسي استفد منها,"Trials “remotely”... There are many sessions that took place during this period, and there are many of my prisoners who benefited from them",0.56
ARY-train-0005,زيان لـ”كود”: الحكومة دارت لقاء مع راسها بعد خطاب عيد العرش وبلا نتيجة وها شنو خاصها دّير باش يخرج الشعب كيشطح,"Zayan to “Kode”: The government held a meeting with its head after the Throne Day speech, but without results. What’s wrong with it? Why should the people go out on a rampage?",شباط عن خطاب عيد العرش لـ”كود”: خطاب تاريخي وكيرد على الشعب وفيه رسائل واضحة للحكومة,"February, about “Kode’s” Throne Day speech: a historic speech, a response to the people, and it contains clear messages to the government",0.42
ARY-train-0006,منظمة الصحة العالمية خربقات العالم. خدات قرار آخور على الهيدروكسي كلوروكين: وقفناه حيت لقينا انه لا فائدة فيه فعلاج المصابين بكورونا,World Health Organization World Health Organization. I made a final decision on hydroxychloroquine: We stopped it when we found that it was of no benefit in treating people infected with Corona.,منظمة الصحة العالمية غاتجرب 3 ديال الدوايات لعلاج المصابين بكورونا,The World Health Organization is trying 3 medications to treat people infected with Corona,0.39
ARY-train-0007,الدزاير.. 129 إصابة جديدة بـ”كورونا” و5 ماتو و91 تشفاو: ها شحال وصلو فالطُوطَالْ,"Al-Desire.. 129 new cases of “Corona”, 5 died, and 91 recovered: They have arrived in the country",الدزاير سجلات 581 إصابة جديدة بـ”كورونا” و12 ماتو و273 تشفاو: ها شحال وصلو فالطُوطَالْ,"Al-Dzayer records 581 new cases of “Corona”, 12 died, and 273 recovered: How much have they arrived in the country?",0.66
ARY-train-0008,برنامج تاريخنا على “كود”.. اسرة العلويين الحاكمة فالمغرب (الحلقة 4) : السلطان اسماعيل قتل الالاف وقطع ريوسهوم وعلقها على اسوار فاس ومكناس,"Our History program on “Code”... The ruling Alawite dynasty in Morocco (Episode 4): Sultan Ismail killed thousands, cut off their heads, and hung them on the walls of Fez and Meknes.",برنامج تاريخنا على “كود”.. (الحلقة 2) : مولاي علي الشريف مؤسس حكم العلويين – فيديو,"Our History program on “Code”.. (Episode 2): Moulay Ali Sharif, founder of Alawite rule - video",0.31
ARY-train-0009,الأرصاد الجوية كتحذر من الحرارة اللّي جاية: غادي توصل لـ44 فهاد المناطق,Meteorology warns of the coming heat: It will reach 44 in these areas,الأرصاد الجوية: الحرارة غادي تزيد تشعل وغادي توصل لـ43 درجة فهاد المناطق,Meteorology: The temperature will rise and reach 43 degrees in these areas,0.75
