PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
ESP-train-0000,Una mujer a punto de comer pescado.,A woman about to eat fish.,Una mujer a punto de comer trucha.,A woman about to eat trout.,1.0
ESP-train-0001,"Las protestas volvieron a Honduras, en este caso impulsadas por el sector sanitario y educativo.","The protests returned to Honduras, in this case driven by the health and education sector.","Desde los sectores afectados, se considera que esta reforma abre la puerta a la privatización y a los despidos masivos.","From the affected sectors, it is considered that this reform opens the door to privatization and massive layoffs.",0.5
ESP-train-0002,"Acapulco: pasado espléndido, presente feroz","Acapulco: splendid past, fierce present","Otra nieta, de sólo dos años, también fue asesinada.","Another granddaughter, only two years old, was also murdered.",0.18
ESP-train-0003,Estuvo arriba y comenzó nuevamente desde abajo.,He was at the top and started again from the bottom.,Y para mí Elio Berhanyer era como un dios que luego se convirtió en un ángel.,And for me Elio Berhanyer was like a god who later became an angel.,0.57
ESP-train-0004,No era más que un desierto; había artemisa en la pista.,It was nothing but a desert; There was sagebrush on the runway.,"Ciertamente, una parte de lo que necesitamos es una forma de distinguir la organización de procesos reales en el mundo del no equilibrio.","Certainly, part of what we need is a way to distinguish the organization of real processes in the non-equilibrium world.",0.26
ESP-train-0005,¿De quién es hija Martine Aubry?,Whose daughter is Martine Aubry?,¿Quién vende Viagra?,Who sells Viagra?,0.13
ESP-train-0006,"De 1915 a 1928, Fuller representó a Wollondilly para el Partido Nacionalista y, desde 1916, al Partido Liberal.","From 1915 to 1928, Fuller represented Wollondilly for the Nationalist Party and, from 1916, for the Liberal Party.","Desde 1915 hasta 1928, Fuller Wollondilly representó al Partido Nacionalista y al Partido Liberal desde 1916.","From 1915 to 1928, Fuller Wollondilly represented the Nationalist Party and the Liberal Party from 1916.",0.98
ESP-train-0007,Muchas bacterias disponen de flagelos o de otros sistemas de desplazamiento y son móviles.,Many bacteria have flagella or other movement systems and are mobile.,Muchas bacterias tienen una capa S de moléculas de proteína de estructura rígida que cubre la pared celular.,Many bacteria have an S-layer of rigidly structured protein molecules that covers the cell wall.,0.51
ESP-train-0008,"Desde hace 113 años, un pedacito de Cuba está bajo control de Estados Unidos por un alquiler anual que podría ser el que se paga mensualmente por un buen apartamento en una gran ciudad.","For 113 years, a little piece of Cuba has been under the control of the United States for an annual rent that could be what is paid monthly for a good apartment in a big city.","""La verdadera historia aquí es por qué se producen tantas filtraciones ilegales en Washington"", se quejó Trump tras la renuncia de Michael Flynn.","""The real story here is why there are so many illegal leaks in Washington,"" Trump complained after Michael Flynn's resignation.",0.26
ESP-train-0009,La niña está regando las plantas,The girl is watering the plants,Un patinador está haciendo trucos en un half pipe,A skater is doing tricks on a half pipe,0.28
ESP-train-0010,"Después de testificar en el caso Till, Reed se mudó a Chicago y cambió su nombre de Willie Louis a Willie Reed.","After testifying in the Till case, Reed moved to Chicago and changed his name from Willie Louis to Willie Reed.","Después de probar en el caso Till, Reed se mudó a Chicago y cambió su nombre de Willie Reed a Willie Louis.","After proving himself in the Till case, Reed moved to Chicago and changed his name from Willie Reed to Willie Louis.",0.65
ESP-train-0011,"La bandera original, sin embargo, tenía un color marrón en lugar de verde.","The original flag, however, was brown instead of green.","Sin embargo, la bandera original tenía un color marrón en lugar de verde.","However, the original flag was brown instead of green.",0.7
ESP-train-0012,¿Qué país retiró sus tropas de Bosnia?,Which country withdrew its troops from Bosnia?,¿Cuándo se ratificó la enmienda de sufragio femenino?,When was the women's suffrage amendment ratified?,0.23
ESP-train-0013,Una niña está intentando esconderse de sus padres,A little girl is trying to hide from her parents,Una muchacha joven tratando de esconderse de su mamá.,A young girl trying to hide from her mom.,0.63
ESP-train-0014,El cocinero está rociando queso sobre la pizza.,The cook is sprinkling cheese on the pizza.,Un hombre está poniendo un poco de queso en una pizza.,A man is putting some cheese on a pizza.,0.57
ESP-train-0015,Otros consejeros se hicieron eco de esta preocupación.,Other councilors echoed this concern.,Podrás jugar junto a los grandes jugadores en las mesas de ruleta o dados o poner algunas monedas en las máquinas tragaperras.,You can play alongside the big players at the roulette or craps tables or put some coins in the slot machines.,0.36
ESP-train-0016,La gente está a punto de comprar una pintura en una feria.,People are about to buy a painting at a fair.,"Un par de personas en un museo mirando en la tienda de regalos, potencialmente va a comprar algo.","A couple of people in a museum looking in the gift shop, potentially going to buy something.",0.46
ESP-train-0017,"Es una pregunta que mucha gente se hace: ¿qué tipo de cepillo dental es mejor para la salud oral, los manuales o los eléctricos?","It is a question that many people ask: what type of toothbrush is better for oral health, manual or electric?","""La mejor forma de usar el cepillo eléctrico, por básico que sea, es moverlo lentamente de un diente hacia otro.","""The best way to use the electric toothbrush, no matter how basic it is, is to move it slowly from one tooth to the other.",0.53
ESP-train-0018,"La península antártica es un grupo de islas frente a la costa oeste del archipiélago de Wilhelm, en la Antártida.",The Antarctic Peninsula is a group of islands off the west coast of the Wilhelm Archipelago in Antarctica.,El archipiélago de Wilhelm es un archipiélago isleño frente a la costa oeste de la Península Antártica en la Antártida.,The Wilhelm Archipelago is an island archipelago off the west coast of the Antarctic Peninsula in Antarctica.,0.74
ESP-train-0019,Un hombre dispara con una pistola,A man shoots with a gun,Un hombre rema en canoa,A man paddles a canoe,0.29
ESP-train-0020,La versión más conocida de la canción fue producida por Dick Rowe y grabada en 1953 en Inglaterra por The Stargazers.,The best-known version of the song was produced by Dick Rowe and recorded in 1953 in England by The Stargazers.,Riverside está ubicado en el 7º Distrito del Congreso y es parte del tercer distrito legislativo estatal de Nueva Jersey.,Riverside is located in the 7th Congressional District and is part of New Jersey's 3rd state legislative district.,0.36
ESP-train-0021,"Desde 1957 hasta 1974, Bassett fue el dueño de los Toronto Argonauts, un equipo en la Liga de Fútbol Canadiense.","From 1957 to 1974, Bassett was the owner of the Toronto Argonauts, a team in the Canadian Football League.","Bassett fue el propietario de la Canadian Football League desde 1957 hasta 1974, un equipo en los Argonautas de Toronto.","Bassett was the owner of the Canadian Football League from 1957 to 1974, a team in the Toronto Argonauts.",0.55
ESP-train-0022,Un pájaro negro y naranja está parado en la hierba.,A black and orange bird is standing in the grass.,El pájaro negro con pico amarillo está parado en la hierba verde,The black bird with yellow beak is standing on the green grass,0.5
ESP-train-0023,Un niño lleva una camisa naranja y una corbata a rayas.,A boy is wearing an orange shirt and a striped tie.,Un niño con una camisa a rayas está saltando detrás de una fuente de agua.,A boy in a striped shirt is jumping behind a water fountain.,0.63
ESP-train-0024,"Nos encontramos ante un filme diferente, un director con una visión distinta que sin duda a dado un nuevo empaque al género.","We are faced with a different film, a director with a different vision who has undoubtedly given a new packaging to the genre.","Algo así como Pulp Slapstiscifi donde predomina el gag visual, la musiquilla vodevilera y el absurdo.","Something like Pulp Slapstiscifi where the visual gag, vaudevillian music and absurdity predominate.",0.53
ESP-train-0025,"La inusual entrega de los Globos de Oro, que se realizó este domingo en una gala marcada por las intervenciones en Zoom, el distanciamiento social y algunos sobresaltos técnicos, dejó también varias escenas conmovedoras.","The unusual Golden Globes ceremony, which took place this Sunday in a gala marked by interventions on Zoom, social distancing and some technical surprises, also left several moving scenes.","Ramos Heredia es primo de la primera dama Nadine Heredia, quien ha sido cuestionada por su supuesta injerencia en la toma de decisiones del Ejecutivo, a cargo de su marido, Ollanta Humala.","Ramos Heredia is the cousin of the first lady Nadine Heredia, who has been questioned for her alleged interference in the decision-making of the Executive, led by her husband, Ollanta Humala.",0.25
ESP-train-0026,El hombre niega una entrevista,The man denies an interview,El hombre concede una entrevista,The man gives an interview,0.64
ESP-train-0027,"Un elefante aterrorizado embistió viviendas y mató a un niño en uno de los mayores campos de refugiados del mundo, en Bangladesh.","A terrified elephant rammed into homes and killed a child in one of the world's largest refugee camps, in Bangladesh.","Esta incubadora que da calor al bebé cuesta US$3.000 en el país, un 70% más barato que los modelos tradicionales.","This incubator that warms the baby costs US$3,000 in the country, 70% cheaper than traditional models.",0.37
ESP-train-0028,"Se intentan precisar las fuentes influyentes del concepto de contrato aleatorio, consagrado en el artículo 1441 del Código Civil.","An attempt is made to specify the influential sources of the concept of random contract, enshrined in article 1441 of the Civil Code.","El tercero, dedicado al estudio de la recepción del concepto en la codificación, hasta su conclusión en el Código Civil.","The third, dedicated to the study of the reception of the concept in codification, until its conclusion in the Civil Code.",0.5
