PairID,Text1,Text1 Translation,Text2,Text2 Translation
kin_train_00001,"Izi serivisi benshi bigaragara ko batarasobanukirwa, zabanje gutangirwa mu bitaro byitiriwe Umwami Faisal (KFH) ariko ubu bisigaye bikorerwa mu bitaro bya gisirikare i Kanombe.","These services, which many do not seem to understand, were first started at the King Faisal Hospital (KFH) but are now being carried out at the military hospital in Kanombe.","Col Dr Charles Furaha, ni umusirikare w’umuganga uzobereye muri izi serivisi utashakira ahandi mu Rwanda uretse aho akorera mu bitaro bya gisirikare i Kanombe.","Col. Dr. Charles Furaha, is a military doctor specializing in these services who cannot be found anywhere else in Rwanda except where he works at the military hospital in Kanombe."
kin_train_00002,Avuga ko agahinda ke katangiye gukura ubwo yari ageze mu mashuri yisumbuye kuko akiri umwana nabwo yari agafite ariko katarakura cyane nk’uko byaje kugenda nyuma.,He says that his depression started to develop when he was in high school because he had it when he was a child but it was not as severe as it became later.,"Iyo akiri umwana aba avuga utugambo twinshi, ugasanga arasakuza ariko iyo afashijwe n'ababyeyi cyangwa abandi bamurera agenda akura ahinduka","When he is a child, he speaks a lot of words, and you find that he is loud, but when he is helped by his parents or others who raise him, he grows up and changes."
kin_train_00003,"Igitego cya Rayon Sports cyatsinzwe n'umusore w'umurundi Kwizera Pierrot ku munota wa 24 w'umukino, kuri Coup Franc Rayon yari ibonye.","Rayon Sports' goal was scored by the Burundian Kwizera Pierrot in the 24th minute of the game, for the Coup Franc Rayon had won.","Rayon Sports itsinda igitego cya mbere ku munota wa 68 cyatsinzwe na Niyonzima Olivier Sefu, nyuma y’akazi kari kabanje gukorwa na Caleb na Sarpong.","Rayon Sports team's first goal in the 68th minute was scored by Niyonzima Olivier Sefu, after the work done earlier by Caleb and Sarpong."
kin_train_00004,Ubutumwa buri muri iyi ndirimbo ni ukumenya no gushishikariza abantu ko nta wundi wo gusingizwa atari Imana.,The message in this song is to know and encourage people that there is no one to replace but God.,Ndayishimiye yavuze ko ubutumwa buri muri iyi ndirimbo bugamije kubwira abantu ko bafite ubutunzi bukomeye bwo kumenya Imana.,Ndayimiyi said that the message in this song is intended to tell people that they have a great wealth to know God.
kin_train_00005,Iwacu w’imyaka 20 y’amavuko yiga iby’ikoranabuhanga mu ishuri rikuru rya Akilah institute for Women riherereye mu mu Mujyi wa Kigali.,Our 20-year-old student studies technology at the Akilah Institute for Women located in Kigali City.,Ubu yiga mu mwaka wa nyuma mu ishami ry’ikoranabuhanga rya mudasobwa mu ishuri rikuru rya Akilah Institute for Women riri mu Mujyi wa Kigali.,She is currently studying in her final year at the Computer Technology Department at the Akilah Institute for Women in Kigali City.
kin_train_00006,"Ubwo Media yakomeje amubwira ati:""Cyusa twagerageje guhagarika ndetse no kwitambika umubano wa Esther na Micheal ariko aho bigeze urabona ko tumaze gutsindwa!""","Media continued to tell him: ""We just tried to stop and sacrifice the relationship between Esther and Micheal, but at that point you can see that we have already failed!""","Ariko Media aramusubiza ati:""Cyusa ntacyo ntakoze ngo ntandukanye Esther na Micheal Pe!","But Media replied: ""I just didn't do anything to separate Esther from Micheal Pe!"
kin_train_00007,"Perezida Kagame yavuze ko abanyarwanda nibakomeza gukora ibyo bashoboye byose bigamije iterambere, ngo nta kabuza bazabigeraho kuko ngo abantu bose Imana yabaremanye ubushobozi bungana.","President Kagame said that if Rwandans continue to do everything they can for the purpose of development, they will succeed because God created all people with equal potential.",Icyo gihe Perezida Kagame yagize ati “Leta izakomeza gukora ibishoboka byose ngo ifashe Abanyarwanda muri ibi bihe bitoroshye.,"At that time, President Kagame said: “The government will continue to do everything possible to help Rwandans in these difficult times."
kin_train_00008,Amavubi ari kwitegura umukino na Guinée-Conakry mu gushaka itike y’Igikombe cya Afurika,Tigers are preparing for the match against Guinea-Conakry in search of a ticket for the Africa Cup of Nations,Uyu yari kumwe na Côte d’Ivoire yanyagiye Amavubi ibitego 5-0 kuri stade Amahoro mu 2011 mu gushaka itike y’igikombe cya Afurika cya,He was with Côte d'Ivoire who beat the Tigers 5-0 at the Amahoro Stadium in 2011 to qualify for the Africa Cup of Nations.
kin_train_00009,Duhugukire kwandika neza Ikinyarwanda Mu myandikire y’Ikinyarwanda hari amakosa akunda gukorwa ashingiye ku ifatana n’itandukana ry’amagambo.,Let's learn to write well in Ikinyarwanda In writing Ikinyarwanda there are mistakes that are often made based on the connection and separation of words.,"Duhugukire kwandika neza Ikinyarwanda (igice cya gatatu) Mu myandikire y’Ikinyarwanda, hari amagambo afatana n’andi atandukana.","Let's practice writing well in Ikinyarwanda (part three) In Ikinyarwanda writing, there are words that go together and others that are different."
kin_train_00010,"“Abaturage kandi basabwa kugira isuku nko kumenyera kwituma mu bwiherero, gukaraba intoki, no kuryama mu nzitiramibu.”","""People are also required to practice good hygiene such as using the toilet, washing their hands, and sleeping in bed.""","Yagize ati “Nko mu Rwanda dukangurira abaturage isuku birinda ibigunga n’ibizenga by’amazi hafi y’ingo, dutera umuti mu ngo tukanakangurira abaturage kuryama mu nzitiramibu.","He said, ""Like in Rwanda, we are encouraging people to clean up the water bodies and ponds near their homes, we are spraying medicine in the houses and we are also encouraging people to sleep in the mud."""
kin_train_00011,Kuri uyu wa Gatatu tariki 20 Ugushyingo 2019 biteganyijwe ko Rayon Sports isubukurira imyitozo yo mu kibuga i Rugende.,"On this Wednesday, November 20, 2019, it is planned that Rayon Sports will resume field training in Rugende.",Rayon Sports iri kwitegura Sunrise FC bagomba guhura kuri uyu wa Gatanu tariki 1 Werurwe 2019 kuri Stade ya Kigali i Nyamirambo.,"Rayon Sports is preparing to face Sunrise FC on Friday, March 1, 2019 at the Kigali Stadium in Nyamirambo."
kin_train_00012,"Liesse, izina ry’umukobwa uhorana ibyishimo Liesse ni izina rihabwa umwana w’umukobwa risobanura ‘Ibyishimo’, rikaba rifite inkomoko mu Butaliyani kuva mu myaka yo hambere.","Liesse, a girl's name that is always happy Liesse is a girl's name meaning 'Joy', which has its origins in Italy since ancient times.","Rajesh, izina ry’abantu bagorwa no kuvugira mu ruhame Rajesh ni izina rihabwa umwana w’umuhungu, rifite inkomoko mu gihinde ku izina Riaja risobanura ‘umwami’.","Rajesh, a name for people with difficulty in public speaking Rajesh is a name given to a boy, which has its origin in the Indian name Riaja which means 'king'."
kin_train_00013,"Urwibutso rwa Jenoside yakorewe Abatutsi rwa Mukarange rubitse imibiri y’Abatutsi 8,763 bishwe muri Jenoside Masengesho Winfrida Jenoside yatangiye afite imyaka 15 y’amavuko.","The Mukarange Genocide Memorial holds the bodies of 8,763 Tutsis killed in the Genocide Masengesho Winfrida Genocide started when she was 15 years old.","Akarere ka Kayonza gafite inzibutso za jenoside yakorewe Abatutsi 7, zose zibitse imibiri y’Abatutsi","Kayonza District has 7 Tutsi Genocide Memorials, all of which contain the bodies of Tutsis."
kin_train_00014,"Ribanje Laurent, umwe mubatangiranye na koperative Duterimbere Murundi yagarutse kuburyo koperative yatangiye n’uburyo babifashijwemo na Kayonza Rice Product Ltd.","First, Laurent, one of the founders of Duterimbere Murundi cooperative, returned to how the cooperative started and how they were helped by Kayonza Rice Product Ltd.",Yagize ati koperative twayingije muri 2012 ariko mu mpera za 2013 nibwo twabonye ubuzimagatozi tubifashijwemo n’umuterankunga wacyu Muzehe Nyagatare uhagarariye Kayonza Rice Product Ltd.,He said that we joined the cooperative in 2012 but at the end of 2013 we got the legalization with the help of our sponsor Muzehe Nyagatare representing Kayonza Rice Product Ltd.
kin_train_00015,Gusa ngo iperereza rirakomeje kugira ngo uwabigizemo uruhare wese amenyekane kandi abihanirwe.,It's just that the investigation is ongoing so that whoever is involved can be identified and punished.,"CIP Hakizimana kandi avuga ko abakekwaho kugira uruhare muri ubu bwicanyi nabo ntibaramenyekana, gusa ngo iperereza rikaba rigikomeza.","CIP Hakizimana also says that the suspects involved in this murder have not yet been identified, only that the investigation is still ongoing."
kin_train_00016,"Rayon Sports ifite abanyamahanga bane barimo Umunye-Congo Manace Mutatu, Umunya-Mali Oumar Sidibé, Abanya-Côte d’Ivoire Drissa Dagnogo na Jean Vital Ourega.","Rayon Sports has four foreigners including Congolese Manace Mutatu, Mali Oumar Sidibé, Côte d'Ivoire Drissa Dagnogo and Jean Vital Ourega.","Manace Mutatu, Ourega Jean Vital, Drissa Dagnogo, Sunday Jimoh na Oumar Sidibe nibo bakorewe iki gikorwa.","Manace Mutatu, Ourega Jean Vital, Drissa Dagnogo, Sunday Jimoh and Oumar Sidibe were involved in this operation."
kin_train_00017,Riderman yavuze ko iyi ndirimbo yari imaze igihe kinini muri studio ndetse mu byumweru bibiri azashyira hanze amashusho yayo.,Riderman said that the song had been in the studio for a long time and in two weeks he will release the video for it.,"Akiva Dubai, Knowless ngo azahita ashyira hanze imwe mu ndirimbo zizafatirwa amashusho i Dubai yise ‘Reka ngukunde"" ndetse ikazanasohokana n'amashusho yayo.","After leaving Dubai, Knowless will soon release one of the songs that will be filmed in Dubai called 'Let me love you' and it will also be released with its video."
kin_train_00018,Mimi Mirage ufite n’ibikorwa by’ubucuruzi mu mujyi wa Kigali ni umwe mu batangaje ku mugaragaro ko bashyigikiye Mwiseneza Josiane ndetse amwemerera imodoka.,"Mimi Mirage, who also has business activities in Kigali city, is one of those who publicly announced their support for Mwiseneza Josiane and even allowed her a car.","Mwiseneza Josiane yashimiye Mimi Mirage washyize mu bikorwa ibyo yamusezeranyije, agasanga ari urugero rw’umuntu mwiza ufite umutima w’urukundo.","Mwisene Josiane thanked Mimi Mirage who fulfilled her promise, finding her to be an example of a good person with a loving heart."
kin_train_00019,Perezida Kagame yageze mu Bushinwa ku wa Gatanu tariki 17 Werurwe ari kumwe na Madamu n’abandi bayobozi mu nzego nkuru z’igihugu.,"President Kagame arrived in China on Friday, March 17, accompanied by Mrs.",Biteganyijwe ko uruzinduko rwa Perezida Kagame mu Bushinwa rusozwa kuri uyu wa Gatandatu tariki 18 Werurwe,"It is planned that President Kagame's visit to China will end on Saturday, March 18"
kin_train_00020,Rayon Sports yasubijwe imodoka tariki ya 9 Kanama uwo mwaka nyuma y’ibiganiro byahuje impande zombi.,Rayon Sports returned the car on August 9 that year after negotiations between the two sides.,Rayon Sports izakira umukino ubanza uzaba tariki ya 9 Kanama 2019 mu gihe uwo kwishyura uzabera muri Sudani nyuma y’ibyumweru bibiri.,"Rayon Sports will host the first match on August 9, 2019 while the second leg will be held in Sudan two weeks later."
kin_train_00021,Ntabwo hagaragajwe impamvu y’uko kugabanyuka ko gukora imibonano mpuzabitsina mu bashakanye ariko no mu bindi bihugu nka Leta Zunze Ubumwe za Amerika byaragabanyutse.,It is not clear why the rate of sex in marriage has declined in other countries such as the United States.,"Iri zina ryakunze gukoreshwa cyane mu bihugu bikoresha ururimi rw’Icyongereza, nkaho muri Leta Zunze Ubumwe za Amerika ryatangiye gukoreshwa ahagana mu","This name has been widely used in English-speaking countries, such as in the United States of America."
kin_train_00022,"Umuvugo: Abana Yanditswe kuya 4-09-2013 saa 11:25' na Chantal Nyirabera Abana ni abahanga Bahanga Isi ikareka guhangayika, Bahangamura n'ibiyihungabanya, Ikaruhuka igahumeka amahoro.","Poem: Children Written on 4-09-2013 at 11:25' by Chantal Nyirabera Children are the experts who make the world stop worrying, They disturb it and disturb it, It rests and breathes peace.","Abana ni abahanga Bahanga Isi ikareka guhangayika, Bahangamura n'ibiyihungabanya, Ikaruhuka igahumeka amahoro.",Children are geniuses. They make the world stop worrying.
kin_train_00023,"Hakiri kare ku munota wa 18’, Nsengiyumva Moustapha yaboneye Rayon Sports igitego cya mbere mbere yo kungamo icya kabiri ku munota wa 34’ w’umukino.","Early on in the 18th minute, Nsengiyumva Moustapha got the first goal for Rayon Sports before scoring the second in the 34th minute of the game.",Nsengiyumva Moustapha yasimbuwe na Sibomana Abouba ku munota wa 65’ mbere naho Nova Bayama asimbura Muhire Kevin ku munota wa 68’ w’umukino.,Nsengiyumva Moustapha was replaced by Sibomana Abouba in the 65th minute and Nova Bayama replaced Muhire Kevin in the 68th minute of the game.
kin_train_00024,"Umuyobozi Mukuru wa Polisi y’u Rwanda, Inspector General of Police (IGP) Emmanuel K.","The Director General of Rwanda Police, Inspector General of Police (IGP) Emmanuel K.","Kigali: Abapolisi basabwe kurushaho kunoza imikorere bagendera ku ndangagaciro zayo Umuyobozi Mukuru wa Polisi y'u Rwanda, Emmanuel K.","Kigali: The police have been asked to improve their performance based on their values. The Director General of the Rwanda Police, Emmanuel K."
kin_train_00025,Muri iyi nkuru rero tugiye kurebera hamwe zimwe mu mpamvu zishobora gutera gutukura amaso ndetse n’ubufasha.,So in this article we are going to look at some of the possible causes of red eyes and how to help.,Muri iyi nkuru tugiye kureba uko inzoka zo mu nda ndetse n’izindi ndiririzi na Mikorobe zishobora gutera umubyibuho ukabije.,In this article we are going to look at how intestinal worms and other worms and microbes can cause obesity.
kin_train_00026,Mubikorwa biteganyijwe gukorwa n'iri huriro harimo kwifatanya n'Abanyarwanda n'amahanga kwibuka ku nshuro ya 22 Jenoside yakorewe Abatutsi mu,Among the activities planned to be carried out by this forum is to join Rwandans and foreigners in commemorating the 22nd Genocide against the Tutsis.,Umuyobozi Wungirije wa Kaminuza ya UNESCO IHE avuga ko bazakomeza kwifatanya n'Abanyarwanda mu kwibuka abazize Jenoside yakorewe Abatutsi.,The Deputy Director of the UNESCO IHE University says that they will continue to join Rwandans in commemorating the victims of the Genocide against the Tutsis.
kin_train_00027,Suge J Knight yavuze ko ari gukorana indirimbo nshya na Tupac muri studio ndetse atapfuye uri Nzeri 1996 nkuko byavuzwe.,Suge J Knight said he was working on a new song with Tupac in the studio even though he didn't die in September 1996 as reported.,Suge J Knight yatangaje byinshi kuri Tupac ndetse ashyira hanze amafoto aherutse kwifotozanya na 50 Cent na Beyonce,Suge J Knight revealed more about Tupac and released recent photos of himself with 50 Cent and Beyonce
kin_train_00028,Perezida KAGAME yashimiye Ndayisenga Valens watwaye Tour du Rwanda Perezida Paul Kagame yashimiye Ndayisenga Valens nyuma y'umunsi umwe yegukanye Tour du Rwanda,President KAGAME congratulated Ndayisenga Valens who won the Tour du Rwanda President Paul Kagame congratulated Ndayisenga Valens a day after he won the Tour du Rwanda,"Ndayisenga Valens watwaye Tour du Rwanda kuri iki cyumweru Ku rubuga rwe rwa Twitter, Perezida Kagame yanditse ashimira Ndayisenga Valens ndetse n'abayitabiriye bose muri rusange.","Ndayisenga Valens who took the Tour du Rwanda this week On his Twitter page, President Kagame wrote thanking Ndayisenga Valens and all the participants in general."
