PairID,Text1,Text1 Translation,Text2,Text2 Translation
MAR-train-00001,"""गुरु नानक देव, त्याचे शिकवण आणि आशीर्वाद आता अगदी संबंधित आहेत आणि संपूर्ण मानवतेसाठी प्रेरणा देण्याचे स्रोत आहेत.""","""Guru Nanak Dev, his teachings and blessings are now very relevant and a source of inspiration for all humanity.""","""गुरु नानक देव आणि त्यांची शिकवण-दिक्षा संपूर्ण मानवजातीसाठी, केवळ भारतातीलच नाही, तर संपूर्ण मानवजातीसाठी मार्गदर्शक आहे.""","""Guru Nanak Dev and his teachings are a guide for all mankind, not only in India, but for all mankind."""
MAR-train-00002,"""२०१ च्या तुलनेत आंतरराष्ट्रीय संस्था आणि एजन्सी आज भारताकडे कसे वेगळ्या प्रकारे पहात आहेत याचा पंतप्रधानांनी नमूद केले.""","""The Prime Minister mentioned how international organizations and agencies are looking at India differently today as compared to 2011.""","""2013च्या तुलनेत, आंतरराष्ट्रीय संस्था आणि एजन्सीचा भारताकडे पाहण्याचा दृष्टीकोन बदलला आहे.""","""Compared to 2013, the attitude of international organizations and agencies towards India has changed."""
MAR-train-00003,"""केंद्र सरकारच्या दृष्टीने यशस्वीरित्या अंमलात आणण्यात हरियाणाच्या राज्य सरकारच्या प्रयत्नांचे पंतप्रधानांनी कौतुक केले.""","""The Prime Minister appreciated the efforts of the state government of Haryana in successfully implementing the vision of the central government.""","""केंद्र सरकारच्या दृष्टीकोनानुसार हरियाणात योजनांची प्रभावी अंमलबजावणी सुरु असल्याबद्दल त्यांनी समाधान व्यक्‍त केले.""","""He expressed satisfaction that effective implementation of schemes in Haryana is going on as per the vision of the Central Government."""
MAR-train-00004,"""g) सुरक्षित, सन्माननीय आणि टिकाऊ पर्यटनाला प्रोत्साहन देणे.""","""g) Promoting safe, dignified and sustainable tourism.""","""· सुरक्षित, सन्माननीय आणिशाश्वत पर्यटनाला प्रोत्साहन देणे.""","""· Promoting safe, dignified and sustainable tourism."""
MAR-train-00005,"""ही उदाहरणे प्रशासन सुधारण्यासाठी तंत्रज्ञानाची शक्ती दर्शवितात.""","""These examples show the power of technology to improve governance.""","""या उदाहरणांवरून तंत्रज्ञानामुळे प्रशासनात सुधारणा होत असल्याचे स्पष्ट झाले आहे.""","""These examples show that technology is improving governance."""
MAR-train-00006,"""दोन्ही नेत्यांनी दोन्ही देशांमधील लोकांची अखंड हालचाल सुनिश्चित करण्याची गरज यावर जोर दिला.""","""Both leaders emphasized the need to ensure seamless movement of people between the two countries.""","""दोन्ही नेत्यांनी उभय देशांतील लोकांमध्ये एकसंघ व्यवहार सुनिश्चित करण्याच्या गरजेवर भर दिला.""","""Both leaders emphasized the need to ensure unity of business among the people of the two countries."""
MAR-train-00007,"""पंतप्रधान श्री नरेंद्र मोदी यांनी चंदीगडमधील आज भारत-फ्रान्स व्यवसाय शिखर परिषदेला संबोधित केले.""","""Prime Minister Shri Narendra Modi addressed the India-France Business Summit in Chandigarh today.""","""पंतप्रधान नरेंद्र मोदी यांनी आज चंडिगढ येथे भारत-फ्रान्स व्यापार शिखर परिषदेला संबोधित केले.""","""Prime Minister Narendra Modi addressed the India-France Trade Summit in Chandigarh today."""
MAR-train-00008,"""त्याने सुरक्षा दल आणि पोलिस दलाच्या जवानांना सलाम केला.""","""He saluted the security forces and the police force personnel.""","""पोलीस आणि सुरक्षा दलाच्या जवानांना त्यांनी सलाम केला.""","""He saluted the police and security forces personnel."""
MAR-train-00009,"""महाराष्ट्र निवडणूक 2019: देवेंद्र फडणवीस यांची भाजपाच्या विधिमंडळ नेतेपदी निवड""","""Maharashtra Election 2019: Devendra Fadnavis Elected as BJP Legislature Leader"".","""मुंबईः देवेंद्र फडणवीस यांची भाजपाच्या विधिमंडळ नेतेपदी निवड झाली आहे.""","""Mumbai: Devendra Fadnavis Elected as BJP Legislature Leader""."
MAR-train-00010,"""श्री सितारम केडिलाय यांनी आज पंतप्रधान श्री नरेंद्र मोदी यांना त्यांच्या हाती घेतलेल्या भारत परिक्रम पाद्यात्राच्या यशस्वी पूर्ततेनंतर आज आवाहन केले.""","""Shri Sitaram Kedilai called on Prime Minister Shri Narendra Modi today after the successful completion of Bharat Parikrama Padyatra undertaken by him.""","""भारत परिक्रमा पदयात्रा यशस्वीपणे पूर्ण केल्यानंतर सिताराम केडिलया यांनी आज पंतप्रधान नरेंद्र मोदी यांची भेट घेतली.""","""After successfully completing Bharat Parikrama Padayatra, Sitaram Kedilaya met Prime Minister Narendra Modi today."""
